ID	Diameter	Material	InstallYear	OrgMaterial	OrgInstallYear	OrgDiameter	Status	INSTALLDAT	BreakYear	BreakDate	Failure_ID	BreakAge
197	8	CI	1965	CI	1965	8	1	1965-04-01 00:00:00.0000000	NULL	NULL	NULL	NULL
198	12	CI	1964	CI	1964	12	1	1964-06-12 00:00:00.0000000	NULL	NULL	NULL	NULL
199	8	CI	1970	CI	1970	8	1	1970-06-28 00:00:00.0000000	NULL	NULL	NULL	NULL
200	8	CI	1970	CI	1970	8	1	1970-06-28 00:00:00.0000000	NULL	NULL	NULL	NULL
201	8	PVC	1997	PVC	1997	8	1	1997-07-08 00:00:00.0000000	NULL	NULL	NULL	NULL
202	12	CI	1950	CI	1950	12	1	1950-07-04 00:00:00.0000000	NULL	NULL	NULL	NULL
203	12	PVC	2000	PVC	2000	12	1	2000-06-24 00:00:00.0000000	NULL	NULL	NULL	NULL
204	8	PVC	1985	PVC	1985	8	1	1985-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
205	8	PVC	1985	PVC	1985	8	1	1985-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
206	8	PVC	1989	PVC	1989	8	1	1989-06-24 00:00:00.0000000	NULL	NULL	NULL	NULL
207	8	CI	1950	CI	1950	8	1	1950-07-04 00:00:00.0000000	NULL	NULL	NULL	NULL
208	8	PVC	1987	PVC	1987	8	1	1987-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL
209	8	DI	1987	DI	1987	8	1	1987-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL
210	8	DI	1987	DI	1987	8	1	1987-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL
211	18	CSC	1974	CSC	1974	18	1	1974-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL
212	18	CSC	1974	CSC	1974	18	1	1974-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL
213	2	PVC	1988	PVC	1988	2	1	1988-06-28 00:00:00.0000000	NULL	NULL	NULL	NULL
214	2	PVC	1988	PVC	1988	2	1	1988-06-28 00:00:00.0000000	2018	2018-05-01 07:08:59.000	1934	30
215	8	PVC	2004	PVC	2004	8	1	2004-04-13 00:00:00.0000000	NULL	NULL	NULL	NULL
216	8	PVC	2004	PVC	2004	8	1	2004-04-13 00:00:00.0000000	NULL	NULL	NULL	NULL
217	8	CI	1973	CI	1973	8	1	1973-07-08 00:00:00.0000000	NULL	NULL	NULL	NULL
218	12	PVC	2001	PVC	2001	12	1	2001-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
219	12	PVC	2001	PVC	2001	12	1	2001-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
220	6	PVC	1988	PVC	1988	6	1	1988-05-22 00:00:00.0000000	NULL	NULL	NULL	NULL
221	6	CI	1964	CI	1964	6	1	1964-06-25 00:00:00.0000000	NULL	NULL	NULL	NULL
222	12	PVC	1995	PVC	1995	12	1	1995-06-14 00:00:00.0000000	NULL	NULL	NULL	NULL
223	6	CI	1970	CI	1970	6	1	1970-06-28 00:00:00.0000000	NULL	NULL	NULL	NULL
224	6	CI	1959	CI	1959	6	1	1959-06-19 00:00:00.0000000	NULL	NULL	NULL	NULL
225	12	PVC	1986	PVC	1986	12	1	1986-06-14 00:00:00.0000000	NULL	NULL	NULL	NULL
226	2	CI	1950	CI	1950	2	1	1950-07-04 00:00:00.0000000	NULL	NULL	NULL	NULL
227	12	PVC	1999	PVC	1999	12	1	1999-11-20 00:00:00.0000000	NULL	NULL	NULL	NULL
228	6	CI	1975	CI	1975	6	1	1975-08-01 00:00:00.0000000	NULL	NULL	NULL	NULL
229	8	CI	1950	CI	1950	8	1	1950-07-04 00:00:00.0000000	NULL	NULL	NULL	NULL
230	6	CI	1975	CI	1975	6	1	1975-06-18 00:00:00.0000000	NULL	NULL	NULL	NULL
231	8	CI	1964	CI	1964	8	1	1964-06-25 00:00:00.0000000	NULL	NULL	NULL	NULL
