ID	Diameter	Material	InstallYear	OrgMaterial	OrgInstallYear	OrgDiameter	Status	InstallDate	BreakYear	BreakDate	Failure_ID	BreakAge
60144	8	DI	1978	DI	NULL	8	1	NULL	NULL	NULL	NULL	NULL
60150	6	DI	1984	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60151	6	CI	1969	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60152	6	CI	1969	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60153	6	CI	1969	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60154	6	CI	1969	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60155	4	CI	1969	DI	NULL	4	0	NULL	NULL	NULL	NULL	NULL
60156	8	CI	1969	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60157	6	CI	1969	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60158	8	CI	1969	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60159	8	CI	1969	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60160	6	CI	1969	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60161	4	CI	1969	DI	NULL	4	0	NULL	NULL	NULL	NULL	NULL
60162	6	CI	1969	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60163	6	CI	1969	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60164	8	CI	1969	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60165	8	CI	1969	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60166	6	CI	1969	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60167	8	CI	1969	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60168	6	CI	1968	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60169	8	CI	1968	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60170	8	CI	1968	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60171	6	CI	1968	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60172	8	CI	1968	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60173	6	CI	1967	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60174	8	CI	1969	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60175	6	CI	1968	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
