ID	Diameter	Material	InstallYear	OrgMaterial	OrgDiameter	Status	INSTALL_DATE	BreakYear	BreakDate	Failure_ID	BreakAge
67895	8	DI	2007	DI	8	1	2007	NULL	NULL	NULL	NULL
67896	6	DI	2007	DI	6	1	2007	NULL	NULL	NULL	NULL
67897	6	DI	2007	DI	6	1	2007	NULL	NULL	NULL	NULL
67898	6	DI	2007	DI	6	1	2007	NULL	NULL	NULL	NULL
67899	8	DI	2007	DI	8	1	2007	NULL	NULL	NULL	NULL
67900	8	DI	2007	DI	8	1	2007	NULL	NULL	NULL	NULL
67901	8	DI	2007	DI	8	1	2007	NULL	NULL	NULL	NULL
67902	8	DI	2007	DI	8	1	2007	NULL	NULL	NULL	NULL
67903	8	DI	2007	DI	8	1	2007	NULL	NULL	NULL	NULL
67904	8	DI	2007	DI	8	1	2007	NULL	NULL	NULL	NULL
67905	8	DI	2007	DI	8	1	2007	NULL	NULL	NULL	NULL
67906	8	DI	2007	DI	8	1	2007	NULL	NULL	NULL	NULL
67907	8	DI	2007	DI	8	1	2007	NULL	NULL	NULL	NULL
67908	8	DI	2012	DI	8	1	2012	NULL	NULL	NULL	NULL
67909	8	DI	2012	DI	8	1	2012	NULL	NULL	NULL	NULL
67910	6	DI	2012	DI	6	1	2012	NULL	NULL	NULL	NULL
67911	6	DI	2012	DI	6	1	2012	NULL	NULL	NULL	NULL
67912	6	DI	2012	DI	6	1	2012	NULL	NULL	NULL	NULL
67913	6	DI	2012	DI	6	1	2012	NULL	NULL	NULL	NULL
67914	6	DI	2012	DI	6	1	2012	NULL	NULL	NULL	NULL
67915	6	DI	2012	DI	6	1	2012	NULL	NULL	NULL	NULL
67916	6	DI	2012	DI	6	1	2012	NULL	NULL	NULL	NULL
67917	8	DI	2012	DI	8	1	2012	NULL	NULL	NULL	NULL
67918	8	DI	2012	DI	8	1	2012	NULL	NULL	NULL	NULL
67919	8	DI	2012	DI	8	1	2012	NULL	NULL	NULL	NULL
67920	8	DI	2012	DI	8	1	2012	NULL	NULL	NULL	NULL
67921	8	DI	2012	DI	8	1	2012	NULL	NULL	NULL	NULL
67922	8	DI	2012	DI	8	1	2012	NULL	NULL	NULL	NULL
67923	8	DI	2012	DI	8	1	2012	NULL	NULL	NULL	NULL
