ID	Diameter	Material	InstallYear	OrgMaterial	OrgInstallYear	OrgDiameter	Status	InstallDate	BreakYear	BreakDate	Description	Failure_ID	BreakAge
44002	12	PVC	2018	PVC	2018	12	1	2018-05-08 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44008	12	DI	2018	DI	2018	12	1	2018-05-08 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44038	8	PVC	2018	PVC	2018	8	1	2018-05-08 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44046	12	DI	2018	DI	2018	12	1	2018-05-08 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44054	8	PVC	2021	PVC	2021	8	1	2021-04-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44065	12	DI	2018	DI	2018	12	1	2018-05-08 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44073	12	PVC	2018	PVC	2018	12	1	2018-05-08 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44077	8	PVC	2018	PVC	2018	8	1	2018-05-08 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44082	8	PVC	2018	PVC	2018	8	1	2018-05-08 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44093	12	DI	2018	DI	2018	12	1	2018-05-08 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44096	6	PVC	2018	PVC	2018	6	1	2018-05-08 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44098	12	PVC	2018	PVC	2018	12	1	2018-05-08 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44104	12	PVC	2017	PVC	2017	12	1	2017-05-15 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44107	12	PVC	2017	PVC	2017	12	1	2017-05-15 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44112	8	PVC	2021	PVC	2021	8	1	2021-04-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44120	12	PVC	2017	PVC	2017	12	1	2017-05-15 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
